Contrato,Objeto,tipo_obra,Endereco,Bairro,inicio,Fim,unidade_gestora,Aditivo,Tipo_contrato,CNPJ,Empresa,orgao_solicitante,modalidade_licitacao,licitacao,processo,Prazo,prazo_dias,Valor
034/2025-SEMINF,"contratação de empresa especializada para construção de nova academia da praça washington luiz, localizada entre as ruas dr. télio barreto e rua tenente coronel amado, centro, macaé/rj, com fornecimento de mão de obra, materiais e equipamentos necessários",Urbanização,Rua tenente coronel amado,,2025-11-13T00:00:00Z,2026-08-09T00:00:00Z,Prefeitura Municipal de Macaé,Contrato Original,Obras e Serviços de Engenharia,37079460/0001-67,New Construções E Serviços Ltda,Secretaria Executiva De Obras,Concorrência Eletrônica,022/2025-SEMINF,33417/2023,300 DIAS,300,1349284.26
030/2024SEMINF,"constitui objeto do presente instrumento a prorrogação automática da vigência do contrato nº 030/2024-seminf, referente à contratação de empresa especializada em construção civil para execução das obras de construção de praça no aterrado do imburo, no bairro ajuda de cima, macaé, com fornecimento de materiais, equipamentos e mão-de-obra.",Urbanização,,Ajuda De Cima,2025-06-12T00:00:00Z,2026-06-03T00:00:00Z,Prefeitura Municipal de Macaé,1º Termo de Apostilamento,Obras e Serviços de Engenharia,10.530.789/0001-46,Construtora Lms Ltda,Secretaria Executiva De Obras,Concorrência Eletrônica,001/2024SEMINF,76403/2023,90 DIAS,90,1749840.75
029/2024SEMINF,"cláusula primeira: o presente 1º termo de apostilamento tem por objeto o reajuste dos preços referente à 1ª (primeira) periodicidade (março/2024 a março/2025) do contrato administrativo nº 029/2024 - seminf, pela contratação de empresa especializada em construção civil para construção de duas pontes na estrada da imbura, localizada em macaé/rj, com fornecimento de materiais, equipamentos necessários e mão-de-obra.",Construção,Estrada da imbura,,2025-08-07T00:00:00Z,2025-05-11T00:00:00Z,Prefeitura Municipal de Macaé,1º Termo de Apostilamento,Obras e Serviços de Engenharia,570647460001-86,Consórcio Estrada Da Imbura,Secretaria Executiva De Obras,Concorrência Eletrônica,002/2024SEMINF,SEI- 002673/202,12 MESES,12,78892.83
025/2024SEMINF,"constitui objeto do presente instrumento a prorrogação de 12 (doze) meses de prazo contratual (item 1), e de 180 (cento e oitenta) dias itens (2 a 6) do contrato nº 0252024-seminf, referente à contratação de empresa especializada na área de arquitetura, urbanismo e engenharia para prestação de serviço de apoio à gestão e elaboração de estudos, planos, programas e projetos básicos e executivos voltados ao atendimento das necessidades do município de macaé/rj no âmbito da sua secretaria municipal de educação",Outros,,,2025-07-15T00:00:00Z,2026-07-14T00:00:00Z,Prefeitura Municipal de Macaé,1º Aditivo,Obras e Serviços de Engenharia,05314789/0001-79,Quanta Consultoria Ltda,Secretaria Municipal De Educação,Concorrência Pública,045/2023SEMINF,18047/2023,12 MESES,12,6428709.5
020/2024SEMINF,"o acréscimo do objeto contratual resultará no reflexo financeiro no valor de r$ 1.432.868,68 (um milhão quatrocentos e trinta e dois mil oitocentos e sessenta e oito reais e sessenta e oito centavos),correspondente à 34,35 % (trinta e quatro virgula trinta e cinco por cento), conforme memorial descritivo projeto básico e planilha de rerratificação, constante às fls. 1991/2050, do processo.",Outros,,,2025-08-22T00:00:00Z,2026-01-18T00:00:00Z,Prefeitura Municipal de Macaé,2º Aditivo,Obras e Serviços de Engenharia,54784959/0001-94,Consórcio Veríssimo De Melo De Macaé,Secretaria Executiva De Obras,Concorrência Pública,043/2023SEMINF,76405/2023,150 DIAS,150,1432868.68
020/2024SEMINF,"contratação de empresa especializada para execução da obra de reforma da praça veríssimo de melo e construção de cobertura da área multiuso, bairro centro, macaé/rj, com fornecimento de mão de obra, materiais e equipamentos necessários.",Urbanização,,Centro,2025-02-23T00:00:00Z,2025-08-21T00:00:00Z,Prefeitura Municipal de Macaé,Contrato Original,Obras e Serviços de Engenharia,54.784.959/0001-94,Consórcio Veríssimo  De Melo De Macaé,Secretaria Municipal Adjunta De Obras,Concorrência Pública,043/2023SEMINF,76.405/2023,300 DIAS,300,4170244.31
020/2024SEMINF,"constitui objeto do presente instrumento a prorrogação do prazo de vigência do contrato nº 020/2024-seminf, referente à contratação de empresa especializada para execução da obra de reforma da praça veríssimo de melo e construção de cobertura da área multiuso, bairro centro, macaé/rj, com fornecimento de mão de obra, materiais e equipamentos necessários.",Urbanização,,Centro,2025-02-23T00:00:00Z,2025-08-21T00:00:00Z,Prefeitura Municipal de Macaé,1º Aditivo,Obras e Serviços de Engenharia,54784959/0001-94,Consórcio Veríssimo De Melo De Macaé,Secretaria Municipal Adjunta De Obras,Concorrência Pública,043/2023SEMINF,76405/2023,180 DIAS,180,
018/2024SEMINF,"constitui objeto do presente instrumento a prorrogação de 12 (doze) meses de vigência contratual bem como, o reajuste referente à 1ª (primeira) periodicidade, compreendendo o período de fevereiro/2024 a fevereiro/2025, do valor inicial do contrato nº 018/2024-seminf, referente à contratação de empresa especializada em operação e conservação de estação elevatória de águas pluviais com capacidade de bombeamento de 22.000 (vinte e dois mil) litros por segundo, incluindo a conservação e limpeza das galerias da macrodrenagem que atendem as bacias de influência da elevatória.",Drenagem,,,2025-04-24T00:00:00Z,2026-04-23T00:00:00Z,Prefeitura Municipal de Macaé,2º Aditivo,Obras e Serviços de Engenharia,54.603.224/0001-17,Consórcio Operaçõe Macaé,Secretaria Municipal De Infraestrutura,Concorrência Pública,037/2023SEMINF,76401/2023,12 MESES,12,1030038.02
016/2024SEMINF,"constitui objeto do presente instrumento a prorrogação de 240 (duzentos e quarenta) dias de vigência contratual e 120 (cento e vinte) dias de execução de obras, do contrato nº 016/2024-seminf, referente à contratação de empresa especializada para execução de obra de complementação da unidade básica de saúde namorado, localizada na rua luciano brochado do loteamento namorado, bairro parque atlântico, macaé/rj, com fornecimento de mão de obra, materiais e equipamentos necessários.",Outros,Rua luciano brochado do loteamento namorado,Parque Atlântico,2025-05-09T00:00:00Z,2026-03-05T00:00:00Z,Prefeitura Municipal de Macaé,2º Aditivo,Obras e Serviços de Engenharia,26116884/0001-38,Enge- Campos Construções Eireli,Secretaria Municipal De Saúde,Concorrência Pública,035/2023SEMINF,76385/2023,240 DIAS,240,1909289.73
013/2024SEMINF,"constitui objeto do presente instrumento a prorrogação do prazo de vigência do contrato nº 013/2024-seminf, referente à construção de quadra coberta, vestiário, academia e complementação das instalações do ginásio poliesportivo de macaé, localizado à avenida evaldo costa s/nº - bairro sol y mar, com fornecimento de materiais, mão de obra e equipamentos necessários.",Construção,Avenida evaldo costa s/nº - bairro sol y mar,Sol Y Mar,2025-07-30T00:00:00Z,2026-01-26T00:00:00Z,Prefeitura Municipal de Macaé,1º Aditivo,Obras e Serviços de Engenharia,01309292/0001-01,Sercon  Construções Ltda,Secretaria Executiva De Obras,Concorrência Pública,004/2023SEMINF,75331/2023,180 DIAS,180,1.21408217E7
